koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
27.807566216,8.20075,13.84,2.42,0.079,0.866,5862.0,5274.0,0.785,0.841458,15.482,1.0
80.8723469,8.20075,7.59,2.42,0.079,0.866,5510.0,5274.0,1.238,0.841458,15.201,1.0
3.166465862,8.20075,26.82,2.42,0.079,0.866,4968.0,5274.0,0.704,0.841458,15.999,2.0
24.99324319,8.20075,2.29,2.42,0.079,0.866,5718.0,5274.0,1.317,0.841458,12.377,1.0
10.35533116,8.20075,2.47,2.42,0.079,0.866,5501.0,5274.0,0.918,0.841458,15.018,1.0
16.08518937,8.20075,3.68,2.42,0.079,0.866,5239.0,5274.0,0.826,0.841458,15.219,1.0
235.9986399,8.20075,10.59,2.42,0.079,0.866,4245.0,5274.0,0.657,0.841458,15.172,0.0
7.49018305,8.20075,2.56,2.42,0.079,0.866,5103.0,5274.0,0.787,0.841458,15.599,1.0
36.2761238,8.20075,3.03,2.42,0.079,0.866,5103.0,5274.0,0.787,0.841458,15.599,1.0
17.46087931,8.20075,2.32,2.42,0.079,0.866,5103.0,5274.0,0.787,0.841458,15.599,1.0
56.0560754,8.20075,1.94,2.42,0.079,0.866,3593.0,5274.0,0.491,0.841458,15.849,1.0
41.408316686,8.20075,11.38,2.42,0.079,0.866,5522.0,5274.0,0.747,0.841458,15.196,1.0
39.74893077,8.20075,14.21,2.42,0.079,0.866,6122.0,5274.0,0.964,0.841458,15.344,0.0
5.715425977,8.20075,2.47,2.42,0.079,0.866,5237.0,5274.0,0.826,0.841458,15.086,1.0
49.18394185,8.20075,8.2,2.42,0.079,0.866,5626.0,5274.0,2.057,0.841458,12.654,1.0
20.0261412,8.20075,2.28,2.42,0.079,0.866,5237.0,5274.0,0.826,0.841458,15.086,1.0
13.61014819,8.20075,19.02,2.42,0.079,0.866,5697.0,5274.0,0.903,0.841458,15.06,0.0
10.44331991,8.20075,2.66,2.42,0.079,0.866,4947.0,5274.0,0.802,0.841458,15.546,2.0
2.237489571,8.20075,1.41,2.42,0.079,0.866,5265.0,5274.0,0.81,0.841458,15.001,1.0
5.851520671,8.20075,14.62,2.42,0.079,0.866,5532.0,5274.0,0.806,0.841458,15.33,2.0
3.167893418,8.20075,2.62,2.42,0.079,0.866,5895.0,5274.0,0.94,0.841458,15.533,1.0
4.311780262,8.20075,3.11,2.42,0.079,0.866,5527.0,5274.0,0.927,0.841458,15.604,1.0
20.0504494,8.20075,2.69,2.42,0.079,0.866,5527.0,5274.0,0.927,0.841458,15.604,1.0
9.76734503,8.20075,2.67,2.42,0.079,0.866,5527.0,5274.0,0.927,0.841458,15.604,1.0
119.0207044,8.20075,8.98,2.42,0.079,0.866,5453.0,5274.0,1.062,0.841458,15.085,0.0
190.3200468,8.20075,7.78,2.42,0.079,0.866,5626.0,5274.0,2.057,0.841458,12.654,1.0
2.861159894,8.20075,4.37,2.42,0.079,0.866,6126.0,5274.0,1.021,0.841458,15.618,2.0
26.44439337,8.20075,3.91,2.42,0.079,0.866,5427.0,5274.0,0.929,0.841458,15.158,1.0
51.53997972,8.20075,5.51,2.42,0.079,0.866,5427.0,5274.0,0.929,0.841458,15.158,1.0
5.902245782,8.20075,2.43,2.42,0.079,0.866,5427.0,5274.0,0.929,0.841458,15.158,1.0
2.382951591,8.20075,1.86,2.42,0.079,0.866,5427.0,5274.0,0.929,0.841458,15.158,1.0
21.02250608,8.20075,3.07,2.42,0.079,0.866,5067.0,5274.0,0.75,0.841458,15.859,1.0
3.219814777,8.20075,1.69,2.42,0.079,0.866,5103.0,5274.0,0.787,0.841458,15.599,1.0
5.912273234,8.20075,1.73,2.42,0.079,0.866,4072.0,5274.0,0.57,0.841458,15.036,1.0
